P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Rhizogoniales	Andreaeales	Takakiales	8.55721999772422	0.0	0.5651466974996386	444279.5	33760.75	28710.0	27496.75	11531.0	44067.5	18470.5	11996.25	30201.25	94960.5	21721.75	14020.75	15952.5	23724.75	8679.25
Gigaspermales	Rhizogoniales	Hookeriales	11.468777953262855	0.0	0.3366313380404855	991440.75	42591.25	17173.75	46212.75	7135.0	46508.75	13024.25	5770.0	29866.0	374155.0	32490.5	5620.25	13070.25	40583.25	4703.25
Rhizogoniales	Catoscopiales	Gigaspermales	8.82831335053958	0.0	0.5827333776998004	141054.5	4680.5	2920.75	3857.25	588.0	4856.0	2133.0	593.5	4541.0	56220.25	4015.75	597.75	2335.25	3866.5	464.0
Gigaspermales	Rhizogoniales	Pleurophascales	4.865974285474152	5.702594010337236e-07	0.4390208574739281	75346.0	2850.75	2275.5	2589.5	428.75	2793.5	1621.25	475.0	2379.0	28909.5	2390.0	423.0	1585.75	2410.5	344.0
Gigaspermales	Rhizogoniales	Hypopterygiales	11.00706557281811	0.0	0.29486667875929623	142139.0	5315.75	2543.0	6708.25	925.5	6768.5	1849.0	742.75	3881.0	54006.0	4343.5	701.0	1828.5	6007.75	672.5
Erpodiales	Rhizogoniales	Hookeriales	10.522992082117026	0.0	0.26489855159849607	2123529.5	89154.5	41341.0	115965.0	15708.5	136347.5	30624.5	15013.5	61377.5	780713.5	67785.5	13500.5	30982.0	109026.5	11537.5
Rhizogoniales	Catoscopiales	Erpodiales	12.219343698633807	0.0	0.5711292856855081	301769.0	14476.0	5575.0	9315.0	1502.0	11377.0	3992.5	1398.5	11080.5	117955.5	11308.0	1572.5	4336.5	9101.5	1170.5
Erpodiales	Rhizogoniales	Hypopterygiales	10.146177468586787	0.0	0.23134328358208955	302930.0	10997.5	6044.0	16585.0	1991.5	19622.0	4122.0	2080.5	7873.0	111900.5	9053.5	1702.5	4155.5	15959.5	1643.0
Hookeriales	Rhizogoniales	Catoscopiales	12.633789320158142	0.0	0.5181339765955314	1082049.0	41237.0	17941.75	35625.0	4864.25	48690.5	12802.5	5427.0	37342.75	429101.5	35991.75	5806.0	13666.25	39332.5	4116.25
Hookeriales	Rhizogoniales	Hedwigiales	9.937909726508625	0.0	0.420049430278675	5405821.5	170116.0	90604.75	174809.75	22614.0	235225.0	70036.75	24528.25	145922.25	2201447.5	147201.25	22691.5	74097.0	197492.75	18619.75
Hookeriales	Rhizogoniales	Pleurophascales	6.091258879715195	5.622657894832628e-10	0.7050956511748148	591372.25	27067.75	11668.25	15680.0	2638.75	22056.75	9263.25	3261.0	24605.25	231374.75	22834.0	3309.5	9496.5	18963.25	2445.75
Hookeriales	Rhizogoniales	Buxbaumiales	5.078040049198318	1.909992374260483e-07	0.9123531869458242	771922.0	84874.5	17279.0	19109.0	7772.0	30043.5	12973.0	8412.0	76845.25	234547.5	69465.25	9773.75	12492.5	18938.0	6586.75
Catoscopiales	Rhizogoniales	Hypopterygiales	12.712304970401409	0.0	0.44172145845786015	154271.0	5989.5	2678.75	5273.25	732.0	5920.0	1770.75	714.75	4542.0	61688.25	5200.25	595.25	1872.25	5313.5	573.5
Hedwigiales	Rhizogoniales	Hypopterygiales	10.119746110733175	0.0	0.520246797225175	767724.75	28908.25	13566.25	20613.0	2852.75	24618.25	9668.75	3175.0	21536.75	315825.75	25470.5	3053.5	10448.0	21305.75	2580.75
